dataset,trace,utilization_pct,configuration,policy,model_type,total_segments,blocks_per_segment,seed,total_write_requests,logical_bytes_written,physical_bytes_written,gc_bytes_copied,valid_blocks_migrated,gc_count,main_stream_writes,cold_stream_writes,unpredicted_writes,prediction_coverage,waf,waf_vs_mixed_pct,migrations_vs_mixed_pct,gc_bytes_vs_mixed_pct
msr,msr_src2_0,80.0,LSTM pretrained+finetuned,LSTM_SMARTGC,pretrained_finetuned,885,64,42,1000000,4096000000,5296783360,1200783360,293160,19324,515338,484662,349040,0.65096,1.29316,-0.8384364930748857,-3.59559872934027,-3.59559872934027
msr,msr_src2_0,85.0,MIXED,MIXED,none,833,64,42,1000000,4096000000,5802459136,1706459136,416616,21304,1000000,0,1000000,0.0,1.416616,0.0,0.0,0.0
msr,msr_src2_0,85.0,RULE_BASED,RULE_BASED,rule,833,64,42,1000000,4096000000,5762134016,1666134016,406771,21151,520817,479183,327695,0.6723049999999999,1.406771,-0.6949660317263184,-2.363087351421933,-2.363087351421933
msr,msr_src2_0,85.0,LSTM scratch,LSTM_SMARTGC,scratch,833,64,42,1000000,4096000000,5693243392,1597243392,389952,20888,488133,511867,349040,0.65096,1.389952,-1.8822320233570717,-6.400138256812029,-6.400138256812029
msr,msr_src2_0,85.0,LSTM pretrained,LSTM_SMARTGC,pretrained,833,64,42,1000000,4096000000,5688942592,1592942592,388902,20872,482209,517791,349040,0.65096,1.388902,-1.9563523213065512,-6.652168903738695,-6.652168903738695
msr,msr_src2_0,85.0,LSTM pretrained+finetuned,LSTM_SMARTGC,pretrained_finetuned,833,64,42,1000000,4096000000,5809287168,1713287168,418283,21331,515338,484662,349040,0.65096,1.418283,0.11767479683978319,0.4001286556445264,0.4001286556445264
systor,systor_lun0,70.0,MIXED,MIXED,none,9462,64,42,1000000,4096000000,4323893248,227893248,55638,7035,1000000,0,1000000,0.0,1.055638,0.0,0.0,0.0
systor,systor_lun0,70.0,RULE_BASED,RULE_BASED,rule,9462,64,42,1000000,4096000000,4258086912,162086912,39572,6785,792375,207625,707396,0.292604,1.039572,-1.521923235048391,-28.875948093029947,-28.875948093029947
systor,systor_lun0,70.0,LSTM scratch,LSTM_SMARTGC,scratch,9462,64,42,1000000,4096000000,4242112512,146112512,35672,6724,784578,215422,707396,0.292604,1.035672,-1.8913680636733567,-35.88554584995866,-35.88554584995866
systor,systor_lun0,70.0,LSTM pretrained,LSTM_SMARTGC,pretrained,9462,64,42,1000000,4096000000,4244357120,148357120,36220,6732,789079,210921,707396,0.292604,1.03622,-1.8394563287793881,-34.90060749847227,-34.90060749847227
systor,systor_lun0,70.0,LSTM pretrained+finetuned,LSTM_SMARTGC,pretrained_finetuned,9462,64,42,1000000,4096000000,4244455424,148455424,36244,6733,786990,213010,707396,0.292604,1.036244,-1.8371828221416937,-34.85747151227579,-34.85747151227579
systor,systor_lun0,80.0,MIXED,MIXED,none,8279,64,42,1000000,4096000000,4524228608,428228608,104548,8982,1000000,0,1000000,0.0,1.104548,0.0,0.0,0.0
systor,systor_lun0,80.0,RULE_BASED,RULE_BASED,rule,8279,64,42,1000000,4096000000,4504281088,408281088,99678,8907,792375,207625,707396,0.292604,1.099678,-0.4409043337184216,-4.658147453801125,-4.658147453801125
systor,systor_lun0,80.0,LSTM scratch,LSTM_SMARTGC,scratch,8279,64,42,1000000,4096000000,4490248192,394248192,96252,8853,784578,215422,707396,0.292604,1.096252,-0.7510764584246299,-7.935111145119945,-7.935111145119945
systor,systor_lun0,80.0,LSTM pretrained,LSTM_SMARTGC,pretrained,8279,64,42,1000000,4096000000,4496818176,400818176,97856,8878,789079,210921,707396,0.292604,1.097856,-0.6058586860869913,-6.400887630562038,-6.400887630562038
systor,systor_lun0,80.0,LSTM pretrained+finetuned,LSTM_SMARTGC,pretrained_finetuned,8279,64,42,1000000,4096000000,4493062144,397062144,96939,8864,786990,213010,707396,0.292604,1.096939,-0.6888790708959661,-7.277996709645331,-7.277996709645331
systor,systor_lun0,85.0,MIXED,MIXED,none,7792,64,42,1000000,4096000000,4692574208,596574208,145648,10111,1000000,0,1000000,0.0,1.145648,0.0,0.0,0.0
systor,systor_lun0,85.0,RULE_BASED,RULE_BASED,rule,7792,64,42,1000000,4096000000,4699394048,603394048,147313,10138,792375,207625,707396,0.292604,1.147313,0.14533259779618413,1.1431670877732616,1.1431670877732616
systor,systor_lun0,85.0,LSTM scratch,LSTM_SMARTGC,scratch,7792,64,42,1000000,4096000000,4691488768,595488768,145383,10108,784578,215422,707396,0.292604,1.145383,-0.023131014063653033,-0.181945512468417,-0.181945512468417
systor,systor_lun0,85.0,LSTM pretrained,LSTM_SMARTGC,pretrained,7792,64,42,1000000,4096000000,4695699456,599699456,146411,10124,789079,210921,707396,0.292604,1.146411,0.06659986313423226,0.5238657585411404,0.5238657585411404
systor,systor_lun0,85.0,LSTM pretrained+finetuned,LSTM_SMARTGC,pretrained_finetuned,7792,64,42,1000000,4096000000,4692516864,596516864,145634,10112,786990,213010,707396,0.292604,1.145634,-0.0012220158373216284,-0.009612215753048445,-0.009612215753048445
