trace,predictor,family,sequence_length,test_samples,mae_us,rmse_us,median_abs_error_us,mae_log1p,hot_threshold_us,accuracy,precision,recall,f1,roc_auc,actual_hot_fraction,predicted_hot_fraction
msr_src2_0,mean_interval,baseline,20,22500,142085789.79242444,589484445.9265884,23645382.75,5.351514517081959,60.0,0.7076888888888889,0.0,0.0,0.0,0.5835878994634462,0.2923111111111111,0.0
msr_src2_0,median_interval,baseline,20,22500,105435155.91208889,599196592.1157897,11901963.75,5.0188093488761325,60.0,0.7254222222222222,0.6521739130434783,0.1299984795499467,0.2167849898580121,0.6483544119324973,0.2923111111111111,0.0582666666666666
msr_src2_0,moving_average_3,baseline,20,22500,155398808.03813332,666027438.3855456,30009523.5,5.5030370448618005,60.0,0.7062222222222222,0.0,0.0,0.0,0.4732886058935883,0.2923111111111111,0.0014666666666666
msr_src2_0,ema_0.5,baseline,20,22500,153342026.7926408,650471376.0985714,33549624.262420904,5.513022606654192,60.0,0.7076888888888889,0.0,0.0,0.0,0.4599575303342104,0.2923111111111111,0.0
systor_lun0,scratch,lstm,20,22490,11744917.419432228,33364783.278432496,3322947.7084825337,1.1170490222336822,274668.0,0.9072921298354824,0.8007789678675754,0.7947429454967143,0.7977495392375593,0.961100754273348,0.2300578034682081,0.2283236994219653
systor_lun0,pretrained,lstm,20,22490,13615228.704124715,38874552.13519676,3665042.658612963,1.3613989448337354,274668.0,0.8760337927967986,0.7221601489757914,0.749516814843448,0.7355842185128982,0.931867148213302,0.2300578034682081,0.2387727879057359
systor_lun0,pretrained_finetuned,lstm,20,22490,11436712.7879712,33754339.25129535,2801443.703115411,1.107215275023875,274668.0,0.9084037349933304,0.7966844512195121,0.8080788558175492,0.8023412013049318,0.960273736389894,0.2300578034682081,0.2333481547354379
systor_lun0,last_interval,baseline,20,22490,19673367.56740774,51539834.1120861,5053699.0,2.5055016949787072,274668.0,0.7430858159181859,0.4416763229045963,0.4420177812137611,0.4418469860896445,0.6555676056062604,0.2300578034682081,0.2302356602934637
systor_lun0,mean_interval,baseline,20,22490,20199530.273119163,38439383.29089362,5941332.800000001,2.156513806700841,274668.0,0.7775455758114718,0.9090909090909092,0.0367220718979512,0.0705926063533345,0.705653352275888,0.2300578034682081,0.0092930191196087
systor_lun0,median_interval,baseline,20,22490,15353657.258892842,39678240.20737872,3920112.0,1.8262393821989853,274668.0,0.8112939084037349,0.624198717948718,0.4516814843448009,0.5241085445167077,0.8533046181384025,0.2300578034682081,0.1664739884393063
systor_lun0,moving_average_3,baseline,20,22490,16772666.226930486,37445260.21071771,4466765.5,2.110397545436835,274668.0,0.7796353935082259,0.5770862800565771,0.1577116350985697,0.2477231329690346,0.6292044810115935,0.2300578034682081,0.062872387727879
systor_lun0,ema_0.5,baseline,20,22490,17302541.027839694,40033171.50804804,4752484.340118256,2.058232793408553,274668.0,0.7883948421520676,0.7577639751552795,0.1178971781986857,0.2040474995818699,0.6522016221716647,0.2300578034682081,0.0357936860827034
